algorithm,Dense_Deployment,Extreme_Scale,Large_Scale,Medium_Scale,Small_Scale,Sparse_Coverage
Staged_GA,31.67,26.67,26.0,37.14,20.0,8.89
Staged_GA_SA_Hybrid,26.67,30.67,20.0,28.57,32.0,4.44
Staged_GWO,45.0,22.67,20.0,28.57,20.0,4.44
Staged_Greedy,40.0,26.67,24.0,37.14,16.0,11.11
Staged_MRFO,35.0,17.33,28.0,22.86,32.0,8.89
Staged_PSO,46.67,37.33,32.0,17.14,12.0,4.44
Staged_SA,36.67,26.67,30.0,17.14,20.0,2.22
