algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped,coverage_plot_path
standard_greedy,small_area_few_drones,1,55.16,4,5,5,2.3048641681671143,19.999999999999996,False,2025-09-05T13:55:23.905988,500,434,95,0.4,50,False,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_greedy_small_area_few_drones_run1_coverage.png
standard_greedy,medium_area_standard,1,48.24,10,15,15,3.385930061340332,33.333333333333336,False,2025-09-05T13:55:29.688627,500,231,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_greedy_medium_area_standard_run1_coverage.png
standard_greedy,large_area_many_drones,1,53.68000000000001,23,27,30,4.784142732620239,14.814814814814813,False,2025-09-05T13:55:35.708843,500,125,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_greedy_large_area_many_drones_run1_coverage.png
standard_greedy,challenging_small_radius,1,30.880000000000003,13,19,20,4.186241865158081,31.57894736842105,False,2025-09-05T13:55:41.418524,500,435,95,0.4,50,False,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_greedy_challenging_small_radius_run1_coverage.png
standard_greedy,efficiency_test,1,76.72,12,12,12,1.4615182876586914,0.0,False,2025-09-05T13:55:43.965284,500,228,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_greedy_efficiency_test_run1_coverage.png
standard_greedy,parallel_processing_test,1,62.63999999999999,19,25,25,3.316354751586914,24.0,False,2025-09-05T13:55:48.681532,500,135,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_greedy_parallel_processing_test_run1_coverage.png
standard_genetic,small_area_few_drones,1,53.92,3,4,5,0.7451143264770508,25.0,False,2025-09-05T13:55:50.706632,500,96,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_genetic_small_area_few_drones_run1_coverage.png
standard_genetic,medium_area_standard,1,49.120000000000005,11,15,15,2.03371262550354,26.66666666666667,False,2025-09-05T13:55:53.798666,500,484,95,0.4,50,False,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_genetic_medium_area_standard_run1_coverage.png
standard_genetic,large_area_many_drones,1,59.36,21,30,30,4.251123666763306,30.000000000000004,False,2025-09-05T13:55:59.103286,500,114,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_genetic_large_area_many_drones_run1_coverage.png
standard_genetic,challenging_small_radius,1,31.919999999999998,12,20,20,2.8759379386901855,40.0,False,2025-09-05T13:56:03.222011,500,108,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_genetic_challenging_small_radius_run1_coverage.png
standard_genetic,efficiency_test,1,79.44,11,11,12,1.4497623443603516,0.0,False,2025-09-05T13:56:05.577488,500,372,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_genetic_efficiency_test_run1_coverage.png
standard_genetic,parallel_processing_test,1,57.8,24,24,25,4.877012252807617,0.0,False,2025-09-05T13:56:11.511886,500,387,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_genetic_parallel_processing_test_run1_coverage.png
standard_pso,small_area_few_drones,1,86.68,5,5,5,0.9278664588928223,0.0,True,2025-09-05T13:56:13.515121,500,270,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_pso_small_area_few_drones_run1_coverage.png
standard_pso,medium_area_standard,1,63.68000000000001,15,15,15,2.615239381790161,0.0,False,2025-09-05T13:56:17.322841,500,198,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_pso_medium_area_standard_run1_coverage.png
standard_pso,large_area_many_drones,1,71.0,25,30,30,3.8032329082489014,16.666666666666664,False,2025-09-05T13:56:22.162370,500,208,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_pso_large_area_many_drones_run1_coverage.png
standard_pso,challenging_small_radius,1,40.239999999999995,20,20,20,3.4626104831695557,0.0,False,2025-09-05T13:56:26.592353,500,468,95,0.4,50,False,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_pso_challenging_small_radius_run1_coverage.png
standard_pso,efficiency_test,1,75.52,9,12,12,1.0418298244476318,25.0,False,2025-09-05T13:56:28.521830,500,396,95,0.4,50,True,False,results/comprehensive_experiment_20250905_135521\coverage_plots\standard_pso_efficiency_test_run1_coverage.png
