,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,63.35,15.362,32.76,81.52,4.372,2.227,7.961,10.213,0.0,12
staged_genetic,57.39,13.294,37.12,73.8,3.832,1.995,19.771,13.739,0.0,12
staged_greedy,64.617,14.938,39.36,85.04,4.414,2.506,9.384,10.698,0.0,12
staged_gwo,61.173,11.647,45.48,78.2,4.368,2.319,11.736,13.676,0.0,12
staged_mrfo,63.207,17.272,35.92,92.88,3.447,1.589,14.749,9.679,0.083,12
staged_pso,58.547,13.317,36.68,81.68,4.199,2.052,14.366,12.607,0.0,12
staged_sa,58.737,16.376,30.28,81.24,3.884,2.057,21.197,13.095,0.0,12
standard_ga_sa,54.96,12.414,39.16,75.36,3.967,2.38,25.48,21.729,0.0,12
standard_genetic,55.467,12.81,31.64,77.6,4.685,2.691,22.054,17.968,0.0,12
standard_greedy,57.767,18.756,24.44,87.04,5.037,2.792,24.517,17.802,0.0,12
standard_gwo,60.74,17.72,30.84,87.84,3.773,1.875,20.041,13.79,0.0,12
standard_mrfo,59.347,17.21,23.72,89.52,4.025,2.183,15.318,16.959,0.0,12
standard_pso,55.677,16.083,24.52,71.32,4.206,2.213,21.115,20.529,0.0,12
standard_sa,57.687,15.607,32.72,80.52,3.972,2.095,21.702,15.684,0.0,12
