scenario,coverage_percentage_mean,coverage_percentage_std,energy_efficiency_mean,energy_efficiency_std,execution_time_mean,execution_time_std
Dense_Deployment,55.0,0.0,2.993,0.252,0.126,0.104
Extreme_Scale,28.0,0.0,1.12,0.0,0.125,0.126
Large_Scale,32.0,0.0,2.778,0.807,0.108,0.072
Medium_Scale,42.857,0.0,4.167,0.618,0.07,0.06
Small_Scale,52.0,0.0,6.964,0.482,0.004,0.005
Sparse_Coverage,17.778,0.0,1.778,0.0,0.028,0.014
