algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped
standard_greedy,small_area_few_drones,1,67.52,4,5,5,1.8799047470092773,19.999999999999996,False,2025-09-04T14:33:06.277491,500,216,95,0.4,50,True,False
standard_greedy,medium_area_standard,1,55.96,12,14,15,4.3888444900512695,14.28571428571429,False,2025-09-04T14:33:10.668338,500,499,95,0.4,50,False,False
standard_greedy,large_area_many_drones,1,55.559999999999995,18,29,30,6.843892574310303,37.93103448275862,False,2025-09-04T14:33:17.520233,500,54,95,0.4,50,True,False
standard_greedy,challenging_small_radius,1,26.479999999999997,11,18,20,4.27308201789856,38.888888888888886,False,2025-09-04T14:33:21.794306,500,139,95,0.4,50,True,False
standard_greedy,efficiency_test,1,80.52,9,11,12,2.921125650405884,18.181818181818176,False,2025-09-04T14:33:24.715431,500,233,95,0.4,50,True,False
standard_greedy,parallel_processing_test,1,63.2,21,25,25,6.936344385147095,16.000000000000004,False,2025-09-04T14:33:31.652775,500,439,95,0.4,50,False,False
standard_genetic,small_area_few_drones,1,53.12,3,5,5,1.547295331954956,40.0,False,2025-09-04T14:33:33.201461,500,251,95,0.4,50,True,False
standard_genetic,medium_area_standard,1,54.76,12,14,15,4.502252817153931,14.28571428571429,False,2025-09-04T14:33:37.703713,500,307,95,0.4,50,True,False
standard_genetic,large_area_many_drones,1,66.84,25,27,30,7.553202390670776,7.4074074074074066,False,2025-09-04T14:33:45.257911,500,89,95,0.4,50,True,False
standard_genetic,challenging_small_radius,1,26.88,11,20,20,6.211256742477417,44.99999999999999,False,2025-09-04T14:33:51.470166,500,490,95,0.4,50,False,False
standard_genetic,efficiency_test,1,64.96,6,11,12,2.1386194229125977,45.45454545454546,False,2025-09-04T14:33:53.617929,500,164,95,0.4,50,True,False
standard_genetic,parallel_processing_test,1,59.160000000000004,19,25,25,6.852071285247803,24.0,False,2025-09-04T14:34:00.470998,500,294,95,0.4,50,True,False
standard_pso,small_area_few_drones,1,82.19999999999999,5,5,5,1.7547893524169922,0.0,False,2025-09-04T14:34:02.230787,500,93,95,0.4,50,True,False
standard_pso,medium_area_standard,1,60.08,13,14,15,4.616675138473511,7.14285714285714,False,2025-09-04T14:34:06.849464,500,448,95,0.4,50,False,False
standard_pso,large_area_many_drones,1,65.0,29,29,30,8.292066097259521,0.0,False,2025-09-04T14:34:15.143531,500,347,95,0.4,50,True,False
standard_pso,challenging_small_radius,1,33.32,15,19,20,5.0445544719696045,21.052631578947366,False,2025-09-04T14:34:20.192086,500,95,95,0.4,50,True,False
standard_pso,efficiency_test,1,88.24,11,12,12,2.130605459213257,8.333333333333337,False,2025-09-04T14:34:22.323686,500,369,95,0.4,50,True,False
standard_pso,parallel_processing_test,1,52.28,19,25,25,4.966617584228516,24.0,False,2025-09-04T14:34:27.292307,500,457,95,0.4,50,False,False
standard_sa,small_area_few_drones,1,50.239999999999995,2,4,5,0.8565969467163086,50.0,False,2025-09-04T14:34:28.149906,500,232,95,0.4,50,True,False
standard_sa,medium_area_standard,1,57.56,11,15,15,3.086862802505493,26.66666666666667,False,2025-09-04T14:34:31.237768,500,396,95,0.4,50,True,False
standard_sa,large_area_many_drones,1,53.04,19,28,30,5.267950534820557,32.14285714285714,False,2025-09-04T14:34:36.515899,500,105,95,0.4,50,True,False
standard_sa,challenging_small_radius,1,45.72,19,19,20,5.16611123085022,0.0,False,2025-09-04T14:34:41.683013,500,292,95,0.4,50,True,False
standard_sa,efficiency_test,1,82.44,8,12,12,1.8777835369110107,33.333333333333336,False,2025-09-04T14:34:43.561797,500,147,95,0.4,50,True,False
standard_sa,parallel_processing_test,1,54.32,18,25,25,4.714296340942383,28.000000000000004,False,2025-09-04T14:34:48.277095,500,240,95,0.4,50,True,False
standard_ga_sa,small_area_few_drones,1,57.04,3,5,5,1.1150877475738525,40.0,False,2025-09-04T14:34:49.393189,500,457,95,0.4,50,False,False
standard_ga_sa,medium_area_standard,1,58.440000000000005,14,15,15,4.874707221984863,6.666666666666665,False,2025-09-04T14:34:54.267896,500,273,95,0.4,50,True,False
standard_ga_sa,large_area_many_drones,1,66.92,27,30,30,6.092661142349243,9.999999999999998,False,2025-09-04T14:35:00.362561,500,214,95,0.4,50,True,False
standard_ga_sa,challenging_small_radius,1,32.84,15,20,20,4.759430408477783,25.0,False,2025-09-04T14:35:05.121991,500,167,95,0.4,50,True,False
standard_ga_sa,efficiency_test,1,81.52000000000001,8,10,12,1.9217438697814941,19.999999999999996,False,2025-09-04T14:35:07.044737,500,54,95,0.4,50,True,False
standard_ga_sa,parallel_processing_test,1,46.44,16,24,25,4.562489032745361,33.333333333333336,False,2025-09-04T14:35:11.607226,500,436,95,0.4,50,False,False
standard_gwo,small_area_few_drones,1,47.160000000000004,3,5,5,1.0685169696807861,40.0,False,2025-09-04T14:35:12.677743,500,449,95,0.4,50,False,False
standard_gwo,medium_area_standard,1,66.72,14,14,15,3.3999340534210205,0.0,False,2025-09-04T14:35:16.077677,500,405,95,0.4,50,False,False
standard_gwo,large_area_many_drones,1,51.480000000000004,20,28,30,5.1092095375061035,28.57142857142857,False,2025-09-04T14:35:21.188896,500,229,95,0.4,50,True,False
standard_gwo,challenging_small_radius,1,21.84,9,19,20,3.364267349243164,52.63157894736843,False,2025-09-04T14:35:24.554273,500,256,95,0.4,50,True,False
standard_gwo,efficiency_test,1,77.52,12,12,12,2.462233543395996,0.0,False,2025-09-04T14:35:27.017506,500,132,95,0.4,50,True,False
standard_gwo,parallel_processing_test,1,51.76,14,24,25,3.7459700107574463,41.666666666666664,False,2025-09-04T14:35:30.764476,500,186,95,0.4,50,True,False
standard_mrfo,small_area_few_drones,1,69.39999999999999,3,5,5,1.0756323337554932,40.0,False,2025-09-04T14:35:31.841228,500,74,95,0.4,50,True,False
standard_mrfo,medium_area_standard,1,73.2,15,15,15,3.3933942317962646,0.0,False,2025-09-04T14:35:35.235630,500,228,95,0.4,50,True,False
standard_mrfo,large_area_many_drones,1,71.6,30,30,30,6.604291677474976,0.0,False,2025-09-04T14:35:41.840919,500,220,95,0.4,50,True,False
standard_mrfo,challenging_small_radius,1,30.680000000000003,12,18,20,3.749173402786255,33.333333333333336,False,2025-09-04T14:35:45.591093,500,336,95,0.4,50,True,False
standard_mrfo,efficiency_test,1,74.76,9,11,12,2.4067330360412598,18.181818181818176,False,2025-09-04T14:35:48.008937,500,192,95,0.4,50,True,False
standard_mrfo,parallel_processing_test,1,65.68,22,25,25,6.402400970458984,12.0,False,2025-09-04T14:35:54.412337,500,489,95,0.4,50,False,False
staged_greedy,small_area_few_drones,1,68.47999999999999,4,5,5,1.1706104278564453,19.999999999999996,False,2025-09-04T14:35:55.583947,500,444,95,0.4,50,False,False
staged_greedy,medium_area_standard,1,65.24,14,15,15,3.3351588249206543,6.666666666666665,False,2025-09-04T14:35:58.920105,500,250,95,0.4,50,True,False
staged_greedy,large_area_many_drones,1,60.28,22,30,30,5.331573724746704,26.66666666666667,False,2025-09-04T14:36:04.252680,500,381,95,0.4,50,True,False
staged_greedy,challenging_small_radius,1,34.839999999999996,15,17,20,4.4104163646698,11.764705882352944,False,2025-09-04T14:36:08.664098,500,485,95,0.4,50,False,False
staged_greedy,efficiency_test,1,71.64,9,11,12,1.9544463157653809,18.181818181818176,False,2025-09-04T14:36:10.618544,500,410,95,0.4,50,False,False
staged_greedy,parallel_processing_test,1,53.839999999999996,19,25,25,4.640344858169556,24.0,False,2025-09-04T14:36:15.258889,500,139,95,0.4,50,True,False
staged_genetic,small_area_few_drones,1,60.72,4,4,5,1.2667672634124756,0.0,False,2025-09-04T14:36:16.525656,500,254,95,0.4,50,True,False
staged_genetic,medium_area_standard,1,58.040000000000006,13,15,15,3.5801053047180176,13.33333333333333,False,2025-09-04T14:36:20.106756,500,79,95,0.4,50,True,False
staged_genetic,large_area_many_drones,1,63.44,25,30,30,5.929882287979126,16.666666666666664,False,2025-09-04T14:36:26.038645,500,147,95,0.4,50,True,False
staged_genetic,challenging_small_radius,1,44.879999999999995,20,20,20,6.04645037651062,0.0,False,2025-09-04T14:36:32.086090,500,303,95,0.4,50,True,False
staged_genetic,efficiency_test,1,79.08,11,12,12,2.1587021350860596,8.333333333333337,False,2025-09-04T14:36:34.245793,500,59,95,0.4,50,True,False
staged_genetic,parallel_processing_test,1,59.24,18,25,25,4.402291774749756,28.000000000000004,False,2025-09-04T14:36:38.648085,500,219,95,0.4,50,True,False
staged_pso,small_area_few_drones,1,68.16,5,5,5,1.3967673778533936,0.0,False,2025-09-04T14:36:40.045851,500,82,95,0.4,50,True,False
staged_pso,medium_area_standard,1,57.440000000000005,13,15,15,3.2486283779144287,13.33333333333333,False,2025-09-04T14:36:43.296480,500,166,95,0.4,50,True,False
staged_pso,large_area_many_drones,1,63.36000000000001,25,30,30,5.819254159927368,16.666666666666664,False,2025-09-04T14:36:49.116734,500,495,95,0.4,50,False,False
staged_pso,challenging_small_radius,1,36.76,19,20,20,6.594110012054443,5.000000000000004,False,2025-09-04T14:36:55.712841,500,476,95,0.4,50,False,False
staged_pso,efficiency_test,1,74.6,7,11,12,1.7054128646850586,36.36363636363637,False,2025-09-04T14:36:57.419253,500,119,95,0.4,50,True,False
staged_pso,parallel_processing_test,1,54.2,18,24,25,4.691756725311279,25.0,False,2025-09-04T14:37:02.112015,500,178,95,0.4,50,True,False
staged_sa,small_area_few_drones,1,69.67999999999999,4,5,5,1.8910505771636963,19.999999999999996,False,2025-09-04T14:37:04.016188,500,343,95,0.4,50,True,False
staged_sa,medium_area_standard,1,66.88,15,15,15,4.419874668121338,0.0,False,2025-09-04T14:37:08.437062,500,434,95,0.4,50,False,False
staged_sa,large_area_many_drones,1,65.12,24,30,30,6.337463140487671,19.999999999999996,False,2025-09-04T14:37:14.775525,500,135,95,0.4,50,True,False
staged_sa,challenging_small_radius,1,45.2,19,19,20,5.17930006980896,0.0,False,2025-09-04T14:37:19.955826,500,80,95,0.4,50,True,False
staged_sa,efficiency_test,1,51.72,6,10,12,1.907470703125,40.0,False,2025-09-04T14:37:21.864298,500,291,95,0.4,50,True,False
staged_sa,parallel_processing_test,1,60.88,21,24,25,5.21912407875061,12.5,False,2025-09-04T14:37:27.084612,500,329,95,0.4,50,True,False
staged_ga_sa,small_area_few_drones,1,40.88,4,5,5,3.815075635910034,19.999999999999996,False,2025-09-04T14:37:30.900690,500,463,95,0.4,50,False,False
staged_ga_sa,medium_area_standard,1,54.72,12,15,15,4.970441579818726,19.999999999999996,False,2025-09-04T14:37:35.872128,500,181,95,0.4,50,True,False
staged_ga_sa,large_area_many_drones,1,63.080000000000005,24,29,30,20.93156623840332,17.24137931034483,False,2025-09-04T14:37:56.810694,500,485,95,0.4,50,False,False
staged_ga_sa,challenging_small_radius,1,41.56,18,18,20,6.011685371398926,0.0,False,2025-09-04T14:38:02.823375,500,119,95,0.4,50,True,False
staged_ga_sa,efficiency_test,1,92.72,11,12,12,2.12318754196167,8.333333333333337,True,2025-09-04T14:38:04.947563,500,457,95,0.4,50,False,False
staged_ga_sa,parallel_processing_test,1,60.160000000000004,21,25,25,9.563159942626953,16.000000000000004,False,2025-09-04T14:38:14.510722,500,417,95,0.4,50,False,False
staged_gwo,small_area_few_drones,1,69.19999999999999,5,5,5,3.0737621784210205,0.0,False,2025-09-04T14:38:17.584485,500,498,95,0.4,50,False,False
staged_gwo,medium_area_standard,1,58.08,11,15,15,4.240501403808594,26.66666666666667,False,2025-09-04T14:38:21.825986,500,278,95,0.4,50,True,False
staged_gwo,large_area_many_drones,1,65.68,30,30,30,8.795006036758423,0.0,False,2025-09-04T14:38:30.621993,500,102,95,0.4,50,True,False
staged_gwo,challenging_small_radius,1,34.52,15,19,20,5.525209188461304,21.052631578947366,False,2025-09-04T14:38:36.148202,500,207,95,0.4,50,True,False
staged_gwo,efficiency_test,1,74.76,8,12,12,3.336393356323242,33.333333333333336,False,2025-09-04T14:38:39.485595,500,451,95,0.4,50,False,False
staged_gwo,parallel_processing_test,1,54.120000000000005,19,25,25,6.494481086730957,24.0,False,2025-09-04T14:38:45.981076,500,135,95,0.4,50,True,False
staged_mrfo,small_area_few_drones,1,66.96,4,5,5,1.9320929050445557,19.999999999999996,False,2025-09-04T14:38:47.913169,500,274,95,0.4,50,True,False
staged_mrfo,medium_area_standard,1,55.32,11,13,15,5.706588268280029,15.384615384615385,False,2025-09-04T14:38:53.620759,500,406,95,0.4,50,False,False
staged_mrfo,large_area_many_drones,1,71.48,29,29,30,7.195162296295166,0.0,False,2025-09-04T14:39:00.826009,500,190,95,0.4,50,True,False
staged_mrfo,challenging_small_radius,1,41.199999999999996,19,19,20,5.525641202926636,0.0,False,2025-09-04T14:39:06.351650,500,97,95,0.4,50,True,False
staged_mrfo,efficiency_test,1,55.52,6,12,12,1.6069591045379639,50.0,False,2025-09-04T14:39:07.958609,500,470,95,0.4,50,False,False
staged_mrfo,parallel_processing_test,1,73.11999999999999,25,25,25,6.579673767089844,0.0,False,2025-09-04T14:39:14.553908,500,278,95,0.4,50,True,False
standard_greedy,small_area_few_drones,2,64.0,4,5,5,1.8638083934783936,19.999999999999996,False,2025-09-04T14:39:16.417716,500,453,95,0.4,50,False,False
standard_greedy,medium_area_standard,2,46.400000000000006,11,14,15,4.3311827182769775,21.42857142857143,False,2025-09-04T14:39:20.751578,500,272,95,0.4,50,True,False
standard_greedy,large_area_many_drones,2,58.28,21,29,30,7.213351488113403,27.586206896551722,False,2025-09-04T14:39:27.965929,500,192,95,0.4,50,True,False
standard_greedy,challenging_small_radius,2,26.44,11,20,20,6.639579772949219,44.99999999999999,False,2025-09-04T14:39:34.605509,500,426,95,0.4,50,False,False
standard_greedy,efficiency_test,2,83.32000000000001,9,11,12,2.5683083534240723,18.181818181818176,False,2025-09-04T14:39:37.173817,500,220,95,0.4,50,True,False
standard_greedy,parallel_processing_test,2,55.08,20,25,25,6.561324596405029,19.999999999999996,False,2025-09-04T14:39:43.735142,500,130,95,0.4,50,True,False
standard_genetic,small_area_few_drones,2,76.8,4,4,5,2.1131489276885986,0.0,False,2025-09-04T14:39:45.850298,500,327,95,0.4,50,True,False
standard_genetic,medium_area_standard,2,61.36000000000001,14,15,15,7.302563667297363,6.666666666666665,False,2025-09-04T14:39:53.152862,500,444,95,0.4,50,False,False
standard_genetic,large_area_many_drones,2,42.72,14,30,30,6.469897985458374,53.333333333333336,False,2025-09-04T14:39:59.623788,500,437,95,0.4,50,False,False
standard_genetic,challenging_small_radius,2,29.799999999999997,13,20,20,7.334980249404907,35.0,False,2025-09-04T14:40:06.958769,500,352,95,0.4,50,True,False
standard_genetic,efficiency_test,2,49.6,7,10,12,2.885068893432617,30.000000000000004,False,2025-09-04T14:40:09.843838,500,84,95,0.4,50,True,False
standard_genetic,parallel_processing_test,2,60.84,21,24,25,7.174651384353638,12.5,False,2025-09-04T14:40:17.019489,500,245,95,0.4,50,True,False
standard_pso,small_area_few_drones,2,67.52,3,5,5,1.4074351787567139,40.0,False,2025-09-04T14:40:18.426925,500,189,95,0.4,50,True,False
standard_pso,medium_area_standard,2,43.120000000000005,12,14,15,4.6207661628723145,14.28571428571429,False,2025-09-04T14:40:23.048690,500,437,95,0.4,50,False,False
standard_pso,large_area_many_drones,2,56.64,23,30,30,8.635512351989746,23.33333333333333,False,2025-09-04T14:40:31.684203,500,307,95,0.4,50,True,False
standard_pso,challenging_small_radius,2,34.8,13,19,20,5.454577922821045,31.57894736842105,False,2025-09-04T14:40:37.138781,500,69,95,0.4,50,True,False
standard_pso,efficiency_test,2,78.92,7,12,12,3.3860785961151123,41.666666666666664,False,2025-09-04T14:40:40.564872,500,68,95,0.4,50,True,False
standard_pso,parallel_processing_test,2,65.44,25,25,25,8.547281980514526,0.0,False,2025-09-04T14:40:49.114154,500,379,95,0.4,50,True,False
standard_sa,small_area_few_drones,2,51.92,3,5,5,3.5888290405273438,40.0,False,2025-09-04T14:40:52.703984,500,404,95,0.4,50,False,False
standard_sa,medium_area_standard,2,34.760000000000005,5,15,15,3.020932912826538,66.66666666666667,False,2025-09-04T14:40:55.724917,500,119,95,0.4,50,True,False
standard_sa,large_area_many_drones,2,62.480000000000004,21,28,30,7.34291410446167,25.0,False,2025-09-04T14:41:03.069829,500,93,95,0.4,50,True,False
standard_sa,challenging_small_radius,2,32.0,14,19,20,7.027195453643799,26.315789473684216,False,2025-09-04T14:41:10.097025,500,322,95,0.4,50,True,False
standard_sa,efficiency_test,2,74.6,9,12,12,3.9857075214385986,25.0,False,2025-09-04T14:41:14.083736,500,104,95,0.4,50,True,False
standard_sa,parallel_processing_test,2,69.88,24,25,25,16.552079677581787,4.0000000000000036,False,2025-09-04T14:41:30.645948,500,369,95,0.4,50,True,False
standard_ga_sa,small_area_few_drones,2,61.199999999999996,5,5,5,3.01991605758667,0.0,False,2025-09-04T14:41:33.699107,500,362,95,0.4,50,True,False
standard_ga_sa,medium_area_standard,2,54.16,10,15,15,6.7457358837127686,33.333333333333336,False,2025-09-04T14:41:40.446845,500,179,95,0.4,50,True,False
standard_ga_sa,large_area_many_drones,2,54.44,22,30,30,7.658627271652222,26.66666666666667,False,2025-09-04T14:41:48.105472,500,292,95,0.4,50,True,False
standard_ga_sa,challenging_small_radius,2,32.72,15,19,20,7.426599502563477,21.052631578947366,False,2025-09-04T14:41:55.534070,500,474,95,0.4,50,False,False
standard_ga_sa,efficiency_test,2,70.8,8,12,12,2.4315946102142334,33.333333333333336,False,2025-09-04T14:41:57.965665,500,74,95,0.4,50,True,False
standard_ga_sa,parallel_processing_test,2,54.6,16,25,25,6.728407144546509,36.0,False,2025-09-04T14:42:04.695071,500,66,95,0.4,50,True,False
standard_gwo,small_area_few_drones,2,57.36,4,4,5,1.498255968093872,0.0,False,2025-09-04T14:42:06.193326,500,274,95,0.4,50,True,False
standard_gwo,medium_area_standard,2,56.16,13,14,15,4.459744453430176,7.14285714285714,False,2025-09-04T14:42:10.654071,500,275,95,0.4,50,True,False
standard_gwo,large_area_many_drones,2,58.08,20,30,30,8.602781534194946,33.333333333333336,False,2025-09-04T14:42:19.261861,500,330,95,0.4,50,True,False
standard_gwo,challenging_small_radius,2,28.000000000000004,11,19,20,5.7783637046813965,42.10526315789473,False,2025-09-04T14:42:25.065137,500,381,95,0.4,50,True,False
standard_gwo,efficiency_test,2,89.75999999999999,10,11,12,2.6992809772491455,9.090909090909093,False,2025-09-04T14:42:27.765417,500,431,95,0.4,50,False,False
standard_gwo,parallel_processing_test,2,51.76,15,24,25,5.413584470748901,37.5,False,2025-09-04T14:42:33.179001,500,192,95,0.4,50,True,False
standard_mrfo,small_area_few_drones,2,76.0,4,5,5,1.5330541133880615,19.999999999999996,False,2025-09-04T14:42:34.723762,500,444,95,0.4,50,False,False
standard_mrfo,medium_area_standard,2,60.919999999999995,13,15,15,4.85500168800354,13.33333333333333,False,2025-09-04T14:42:39.583769,500,85,95,0.4,50,True,False
standard_mrfo,large_area_many_drones,2,64.08,23,29,30,9.132740259170532,20.68965517241379,False,2025-09-04T14:42:48.728445,500,445,95,0.4,50,False,False
standard_mrfo,challenging_small_radius,2,36.64,14,20,20,9.25681209564209,30.000000000000004,False,2025-09-04T14:42:57.986255,500,430,95,0.4,50,False,False
standard_mrfo,efficiency_test,2,79.44,8,12,12,2.3395071029663086,33.333333333333336,False,2025-09-04T14:43:00.327764,500,297,95,0.4,50,True,False
