,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,62.733,14.679,41.92,97.12,1.136,0.244,11.619,13.414,0.083,12
staged_genetic,58.427,12.381,37.16,84.52,1.071,0.226,21.376,11.985,0.0,12
staged_greedy,63.04,16.771,36.24,87.92,1.061,0.207,10.591,11.646,0.0,12
staged_gwo,59.23,13.045,38.68,78.92,1.133,0.267,21.308,14.494,0.0,12
staged_mrfo,59.0,18.805,28.64,91.44,1.112,0.23,19.907,15.946,0.083,12
staged_pso,59.853,15.645,33.48,86.28,1.132,0.258,17.855,14.669,0.0,12
staged_sa,63.953,18.927,29.88,91.56,1.376,0.462,15.715,11.567,0.0,12
standard_ga_sa,57.637,13.269,36.48,77.2,1.028,0.156,24.229,14.439,0.0,12
standard_genetic,58.297,16.036,31.08,84.32,1.047,0.15,18.65,13.662,0.0,12
standard_greedy,53.183,20.073,26.16,87.36,1.076,0.188,24.884,18.489,0.0,12
standard_gwo,58.327,16.398,36.76,86.16,1.124,0.29,14.206,15.985,0.0,12
standard_mrfo,62.57,16.945,33.08,92.8,1.141,0.211,16.678,13.436,0.083,12
standard_pso,58.643,16.299,35.76,87.08,1.043,0.135,21.449,18.735,0.0,12
standard_sa,52.093,20.103,22.4,82.92,1.093,0.233,28.252,25.77,0.0,12
