,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,58.837,16.068,30.16,82.56,3.696,1.981,16.722,18.729,0.0,12
staged_genetic,58.397,15.735,28.4,81.0,4.078,1.695,11.23,12.535,0.0,12
staged_greedy,55.81,15.892,34.24,83.36,4.908,2.699,14.265,12.382,0.0,12
staged_gwo,61.72,17.849,28.44,92.64,3.647,1.763,15.565,15.748,0.083,12
staged_mrfo,61.203,14.435,36.64,77.12,3.764,1.852,12.198,11.561,0.0,12
staged_pso,62.38,14.761,33.6,86.0,3.69,1.659,11.289,13.72,0.0,12
staged_sa,61.847,14.177,38.72,83.68,3.948,2.011,9.008,10.621,0.0,12
standard_ga_sa,52.353,15.235,31.52,76.24,3.551,1.664,25.934,17.716,0.0,12
standard_genetic,56.097,18.625,21.28,91.8,5.616,3.557,24.74,13.43,0.0,12
standard_greedy,55.987,14.451,29.84,79.24,4.511,2.724,27.868,12.698,0.0,12
standard_gwo,57.85,15.435,30.68,78.96,4.243,1.906,17.773,17.548,0.0,12
standard_mrfo,57.31,15.461,35.76,83.52,4.701,2.48,20.421,16.594,0.0,12
standard_pso,56.74,19.897,32.64,95.84,4.86,2.43,21.359,20.762,0.083,12
standard_sa,56.753,15.256,32.88,83.64,3.673,1.506,19.282,12.782,0.0,12
