,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,61.283,13.336,39.76,84.6,2.133,2.106,11.682,11.718,0.0,12
staged_genetic,61.923,17.923,35.2,94.44,1.013,0.201,14.453,14.27,0.083,12
staged_greedy,62.823,16.506,32.92,90.76,1.418,0.709,11.151,9.44,0.0,12
staged_gwo,59.34,16.987,33.88,82.88,2.262,2.544,13.977,14.149,0.0,12
staged_mrfo,67.51,18.12,33.84,91.64,1.423,0.758,9.348,8.641,0.083,12
staged_pso,60.33,15.167,27.68,83.64,1.115,0.348,15.673,15.868,0.0,12
staged_sa,61.53,14.218,32.12,83.0,1.183,0.413,14.026,13.372,0.0,12
standard_ga_sa,58.623,19.02,20.64,89.12,1.201,0.519,16.107,22.443,0.0,12
standard_genetic,49.673,15.704,26.72,72.48,2.434,1.969,30.699,16.714,0.0,12
standard_greedy,58.19,16.565,28.0,86.52,1.708,1.208,16.908,12.684,0.0,12
standard_gwo,49.67,13.739,23.0,64.76,1.046,0.201,32.125,23.146,0.0,12
standard_mrfo,55.943,14.719,30.6,90.92,1.485,0.853,21.364,17.303,0.0,12
standard_pso,58.273,14.261,31.44,88.04,1.189,0.359,22.26,16.356,0.083,12
standard_sa,58.413,16.582,27.6,79.4,1.233,0.786,23.049,12.058,0.0,12
