Scenario,Description,Dimensions,Area (units²),Total Drones,Drone Density,Complexity Factor,Theoretical Max Coverage (%),Achieved Coverage (%),Active Drones,Energy Savings (%),Coverage Efficiency,Fault Tolerance,Execution Time (s),Overall Performance
Small Dense,Compact high-density coverage,40×40,1600,12,7.5,0.42,100.0,95.72,10,16.67,9.57,36.67,1.85,4.97/10
Standard Grid,Balanced standard configuration,60×60,3600,20,5.56,0.29,100.0,94.77,17,15.00,5.57,35.00,3.80,4.83/10
Extended Grid,Large area coverage,80×60,4800,25,5.21,0.42,100.0,93.89,21,16.00,4.47,36.00,4.52,4.86/10
Dense Coverage,Optimal sensing overlap,50×50,2500,15,6.0,0.21,100.0,95.37,12,20.00,7.95,40.00,2.76,5.18/10
Large Scale,Enterprise-scale deployment,100×80,8000,35,4.38,0.32,100.0,94.79,29,17.14,3.27,37.14,6.55,4.97/10
Minimal Grid,Resource-constrained scenario,30×30,900,8,8.89,0.25,100.0,99.50,6,25.00,16.58,45.00,0.99,5.65/10
