algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped,coverage_plot_path
standard_greedy,small_area_few_drones,1,68.44,4,5,5,1.5233736038208008,19.999999999999996,False,2025-09-05T14:23:55.401905,500,434,95,0.4,50,False,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_greedy_small_area_few_drones_run1_coverage.png
standard_greedy,medium_area_standard,1,63.519999999999996,15,15,15,1.5129203796386719,0.0,False,2025-09-05T14:23:58.343387,500,183,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_greedy_medium_area_standard_run1_coverage.png
standard_greedy,large_area_many_drones,1,60.160000000000004,22,30,30,1.0863063335418701,26.66666666666667,False,2025-09-05T14:24:00.424192,500,238,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_greedy_large_area_many_drones_run1_coverage.png
standard_greedy,challenging_small_radius,1,34.2,14,18,20,1.0362646579742432,22.22222222222222,False,2025-09-05T14:24:02.519688,500,425,95,0.4,50,False,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_greedy_challenging_small_radius_run1_coverage.png
standard_greedy,efficiency_test,1,88.48,9,11,12,0.9913289546966553,18.181818181818176,False,2025-09-05T14:24:04.494378,500,387,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_greedy_efficiency_test_run1_coverage.png
standard_greedy,parallel_processing_test,1,49.519999999999996,16,24,25,1.695173978805542,33.333333333333336,False,2025-09-05T14:24:07.333710,500,52,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_greedy_parallel_processing_test_run1_coverage.png
standard_genetic,small_area_few_drones,1,58.919999999999995,3,5,5,0.9069623947143555,40.0,False,2025-09-05T14:24:09.410557,500,417,95,0.4,50,False,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_genetic_small_area_few_drones_run1_coverage.png
standard_genetic,medium_area_standard,1,65.64,12,15,15,1.117079257965088,19.999999999999996,False,2025-09-05T14:24:11.487422,500,249,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_genetic_medium_area_standard_run1_coverage.png
standard_genetic,large_area_many_drones,1,56.96,22,30,30,1.0780587196350098,26.66666666666667,False,2025-09-05T14:24:13.590442,500,201,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_genetic_large_area_many_drones_run1_coverage.png
standard_genetic,challenging_small_radius,1,29.599999999999998,12,20,20,1.4447698593139648,40.0,False,2025-09-05T14:24:16.279606,500,76,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_genetic_challenging_small_radius_run1_coverage.png
standard_genetic,efficiency_test,1,92.44,11,11,12,1.433023452758789,0.0,True,2025-09-05T14:24:18.777124,500,265,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_genetic_efficiency_test_run1_coverage.png
standard_genetic,parallel_processing_test,1,40.0,13,23,25,1.3548619747161865,43.47826086956522,False,2025-09-05T14:24:21.527377,500,321,95,0.4,50,True,False,results/comprehensive_experiment_20250905_142353\coverage_plots\standard_genetic_parallel_processing_test_run1_coverage.png
