algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped,coverage_plot_path
standard_greedy,small_area_few_drones,1,78.2,5,5,5,0.9172453880310059,0.0,False,2025-09-05T22:26:51.573191,500,146,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_greedy_small_area_few_drones_run1_coverage.png
standard_greedy,medium_area_standard,1,41.24,9,14,15,0.9359047412872314,35.71428571428571,False,2025-09-05T22:26:53.571417,500,166,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_greedy_medium_area_standard_run1_coverage.png
standard_greedy,large_area_many_drones,1,69.28,30,30,30,1.1653127670288086,0.0,False,2025-09-05T22:26:55.733590,500,194,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_greedy_large_area_many_drones_run1_coverage.png
standard_greedy,challenging_small_radius,1,30.84,15,20,20,1.3621885776519775,25.0,False,2025-09-05T22:26:58.204880,500,336,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_greedy_challenging_small_radius_run1_coverage.png
standard_greedy,efficiency_test,1,71.56,8,11,12,0.95554518699646,27.27272727272727,False,2025-09-05T22:27:00.152264,500,354,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_greedy_efficiency_test_run1_coverage.png
standard_greedy,parallel_processing_test,1,42.76,18,25,25,1.0468716621398926,28.000000000000004,False,2025-09-05T22:27:02.304629,500,401,95,0.4,50,False,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_greedy_parallel_processing_test_run1_coverage.png
standard_genetic,small_area_few_drones,1,50.68,5,5,5,0.9245994091033936,0.0,False,2025-09-05T22:27:04.271508,500,244,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_genetic_small_area_few_drones_run1_coverage.png
standard_genetic,medium_area_standard,1,45.92,9,14,15,1.3036458492279053,35.71428571428571,False,2025-09-05T22:27:06.534042,500,388,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_genetic_medium_area_standard_run1_coverage.png
standard_genetic,large_area_many_drones,1,65.64,23,30,30,1.2615692615509033,23.33333333333333,False,2025-09-05T22:27:09.000376,500,362,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_genetic_large_area_many_drones_run1_coverage.png
standard_genetic,challenging_small_radius,1,40.92,20,20,20,1.0579264163970947,0.0,False,2025-09-05T22:27:11.298317,500,434,95,0.4,50,False,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_genetic_challenging_small_radius_run1_coverage.png
standard_genetic,efficiency_test,1,84.32,9,12,12,0.9093587398529053,25.0,False,2025-09-05T22:27:13.187758,500,72,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_genetic_efficiency_test_run1_coverage.png
standard_genetic,parallel_processing_test,1,53.080000000000005,16,23,25,1.1379170417785645,30.434782608695656,False,2025-09-05T22:27:15.442801,500,186,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_genetic_parallel_processing_test_run1_coverage.png
standard_pso,small_area_few_drones,1,75.32,5,5,5,0.9462223052978516,0.0,False,2025-09-05T22:27:17.829706,500,341,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_pso_small_area_few_drones_run1_coverage.png
standard_pso,medium_area_standard,1,35.76,6,15,15,1.0641539096832275,60.0,False,2025-09-05T22:27:19.914182,500,193,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_pso_medium_area_standard_run1_coverage.png
standard_pso,large_area_many_drones,1,69.08,29,30,30,1.1953225135803223,3.3333333333333326,False,2025-09-05T22:27:22.030928,500,226,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_pso_large_area_many_drones_run1_coverage.png
standard_pso,challenging_small_radius,1,37.16,16,20,20,1.0241544246673584,19.999999999999996,False,2025-09-05T22:27:24.232723,500,370,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_pso_challenging_small_radius_run1_coverage.png
standard_pso,efficiency_test,1,87.08,12,12,12,0.9682028293609619,0.0,False,2025-09-05T22:27:26.208994,500,226,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_pso_efficiency_test_run1_coverage.png
standard_pso,parallel_processing_test,1,54.559999999999995,17,25,25,1.0625452995300293,31.999999999999996,False,2025-09-05T22:27:28.390415,500,76,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_pso_parallel_processing_test_run1_coverage.png
standard_sa,small_area_few_drones,1,68.67999999999999,5,5,5,1.012308120727539,0.0,False,2025-09-05T22:27:30.532027,500,71,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_sa_small_area_few_drones_run1_coverage.png
standard_sa,medium_area_standard,1,50.72,10,14,15,0.9336769580841064,28.57142857142857,False,2025-09-05T22:27:32.408523,500,196,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_sa_medium_area_standard_run1_coverage.png
standard_sa,large_area_many_drones,1,70.48,28,29,30,1.0442886352539062,3.4482758620689613,False,2025-09-05T22:27:34.425392,500,455,95,0.4,50,False,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_sa_large_area_many_drones_run1_coverage.png
standard_sa,challenging_small_radius,1,41.48,19,19,20,1.1912736892700195,0.0,False,2025-09-05T22:27:36.748404,500,334,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_sa_challenging_small_radius_run1_coverage.png
standard_sa,efficiency_test,1,73.92,9,12,12,0.9031271934509277,25.0,False,2025-09-05T22:27:38.613548,500,413,95,0.4,50,False,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_sa_efficiency_test_run1_coverage.png
standard_sa,parallel_processing_test,1,54.67999999999999,17,25,25,1.0213594436645508,31.999999999999996,False,2025-09-05T22:27:40.689543,500,81,95,0.4,50,True,False,results/comprehensive_experiment_20250905_222650\coverage_plots\standard_sa_parallel_processing_test_run1_coverage.png
