,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,60.54,15.964,35.4,92.72,7.012,5.155,10.667,10.187,0.083,12
staged_genetic,60.547,12.271,41.2,82.2,4.289,2.347,12.913,11.898,0.0,12
staged_greedy,57.893,13.221,32.6,71.64,4.165,2.167,19.079,16.428,0.0,12
staged_gwo,60.4,14.953,32.72,83.2,6.032,2.862,15.719,13.28,0.0,12
staged_mrfo,58.52,12.633,35.56,73.12,5.538,2.811,16.2,14.936,0.0,12
staged_pso,60.103,11.802,36.76,74.6,4.971,3.169,16.68,11.554,0.0,12
staged_sa,60.307,12.784,40.4,87.76,5.344,2.68,16.708,12.294,0.0,12
standard_ga_sa,55.927,14.146,32.72,81.52,4.778,2.235,23.782,12.671,0.0,12
standard_genetic,53.903,14.775,26.88,76.8,5.174,2.371,26.137,17.833,0.0,12
standard_greedy,56.897,17.659,26.44,83.32,4.702,2.073,24.79,10.193,0.0,12
standard_gwo,54.8,18.567,21.84,89.76,3.967,2.078,24.337,19.631,0.0,12
standard_mrfo,62.593,15.813,30.68,79.44,4.948,2.989,21.305,13.369,0.0,12
standard_pso,60.63,17.729,33.32,88.24,4.905,2.546,17.616,15.068,0.0,12
standard_sa,55.747,15.002,32.0,82.44,5.207,4.048,29.76,17.874,0.0,12
