,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,57.86,12.56,35.08,72.04,1.506,0.723,17.082,12.6,0.0,12
staged_genetic,61.203,16.153,30.88,81.32,1.46,0.266,13.652,11.869,0.0,12
staged_greedy,59.38,14.01,35.64,82.96,1.792,0.545,14.059,9.817,0.0,12
staged_gwo,60.407,15.035,33.52,84.56,1.566,0.477,17.04,14.294,0.0,12
staged_mrfo,61.467,14.584,35.72,85.48,1.336,0.344,14.746,11.956,0.0,12
staged_pso,58.493,17.155,32.64,88.2,1.759,0.938,19.477,13.453,0.0,12
staged_sa,61.09,13.377,35.2,88.24,1.558,0.368,10.956,8.842,0.0,12
standard_ga_sa,56.43,16.546,29.72,80.6,2.135,0.683,23.086,15.163,0.0,12
standard_genetic,54.7,16.983,29.6,92.44,1.349,0.376,27.443,12.415,0.083,12
standard_greedy,59.91,15.909,34.2,88.48,1.366,0.255,19.427,8.086,0.0,12
standard_gwo,52.88,15.016,31.48,82.6,1.559,0.374,27.411,19.717,0.0,12
standard_mrfo,59.393,15.849,26.96,85.16,1.479,0.505,19.848,15.383,0.0,12
standard_pso,59.533,16.309,33.12,81.96,1.536,0.353,13.975,14.386,0.0,12
standard_sa,57.24,14.094,30.24,77.88,1.702,0.653,18.516,17.441,0.0,12
