Scenario,Description,Dimensions,Area (units²),Total Drones,Drone Density,Complexity Factor,Theoretical Max Coverage (%),Achieved Coverage (%),Active Drones,Energy Savings (%),Coverage Efficiency,Fault Tolerance,Execution Time (s),Overall Performance
Small Dense,Compact high-density coverage,40×40,1600,12,7.5,0.42,100.0,94.69,10,16.67,9.47,36.67,1.80,4.93/10
Standard Grid,Balanced standard configuration,60×60,3600,20,5.56,0.29,100.0,95.35,17,15.00,5.61,35.00,3.10,4.84/10
Extended Grid,Large area coverage,80×60,4800,25,5.21,0.42,100.0,94.21,21,16.00,4.49,36.00,4.13,4.87/10
Dense Coverage,Optimal sensing overlap,50×50,2500,15,6.0,0.21,100.0,96.21,12,20.00,8.02,40.00,2.47,5.21/10
Large Scale,Enterprise-scale deployment,100×80,8000,35,4.38,0.32,100.0,93.00,29,17.14,3.21,37.14,8.29,4.91/10
Minimal Grid,Resource-constrained scenario,30×30,900,8,8.89,0.25,100.0,94.25,6,25.00,15.71,45.00,0.88,5.48/10
