algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped
standard_greedy,small_area_few_drones,1,63.160000000000004,3,4,5,1.583803653717041,25.0,False,2025-09-03T23:44:32.652892,500,74,95,0.5,30,True,False
standard_greedy,medium_area_standard,1,56.879999999999995,12,15,15,6.150256633758545,19.999999999999996,False,2025-09-03T23:44:38.804149,500,241,95,0.5,30,True,False
standard_greedy,large_area_many_drones,1,66.92,29,29,30,10.459283828735352,0.0,False,2025-09-03T23:44:49.273608,500,155,95,0.5,30,True,False
standard_greedy,challenging_small_radius,1,27.48,12,20,20,7.241764307022095,40.0,False,2025-09-03T23:44:56.515372,500,194,95,0.5,30,True,False
standard_greedy,efficiency_test,1,83.04,11,11,12,7.190267086029053,0.0,False,2025-09-03T23:45:03.706642,500,197,95,0.5,30,True,False
standard_greedy,parallel_processing_test,1,73.8,24,25,25,10.085219621658325,4.0000000000000036,False,2025-09-03T23:45:13.793862,500,107,95,0.5,30,True,False
standard_genetic,small_area_few_drones,1,57.720000000000006,4,4,5,2.598752021789551,0.0,False,2025-09-03T23:45:16.393613,500,324,95,0.5,30,True,False
standard_genetic,medium_area_standard,1,47.92,9,14,15,6.014469861984253,35.71428571428571,False,2025-09-03T23:45:22.417082,500,244,95,0.5,30,True,False
standard_genetic,large_area_many_drones,1,56.8,22,30,30,13.270743608474731,26.66666666666667,False,2025-09-03T23:45:35.689826,500,362,95,0.5,30,True,False
standard_genetic,challenging_small_radius,1,42.68,20,20,20,15.615953922271729,0.0,False,2025-09-03T23:45:51.308781,500,125,95,0.5,30,True,False
standard_genetic,efficiency_test,1,75.72,6,11,12,4.159267425537109,45.45454545454546,False,2025-09-03T23:45:55.474115,500,495,95,0.5,30,False,False
standard_genetic,parallel_processing_test,1,70.08,24,24,25,12.99442195892334,0.0,False,2025-09-03T23:46:08.470539,500,218,95,0.5,30,True,False
standard_pso,small_area_few_drones,1,73.0,5,5,5,2.8504772186279297,0.0,False,2025-09-03T23:46:11.324143,500,89,95,0.5,30,True,False
standard_pso,medium_area_standard,1,61.919999999999995,15,15,15,5.815019845962524,0.0,False,2025-09-03T23:46:17.140163,500,221,95,0.5,30,True,False
standard_pso,large_area_many_drones,1,66.56,30,30,30,16.001120805740356,0.0,False,2025-09-03T23:46:33.145282,500,187,95,0.5,30,True,False
standard_pso,challenging_small_radius,1,33.68,13,19,20,7.746800661087036,31.57894736842105,False,2025-09-03T23:46:40.893083,500,237,95,0.5,30,True,False
standard_pso,efficiency_test,1,59.199999999999996,7,12,12,3.110399007797241,41.666666666666664,False,2025-09-03T23:46:44.005482,500,402,95,0.5,30,False,False
standard_pso,parallel_processing_test,1,71.32,24,25,25,16.561046600341797,4.0000000000000036,False,2025-09-03T23:47:00.567528,500,111,95,0.5,30,True,False
standard_sa,small_area_few_drones,1,55.24,4,5,5,6.841228008270264,19.999999999999996,False,2025-09-03T23:47:07.485289,500,321,95,0.5,30,True,False
standard_sa,medium_area_standard,1,30.64,5,14,15,9.461238861083984,64.28571428571428,False,2025-09-03T23:47:16.976757,500,451,95,0.5,30,False,False
standard_sa,large_area_many_drones,1,51.839999999999996,18,30,30,13.005351781845093,40.0,False,2025-09-03T23:47:29.999310,500,362,95,0.5,30,True,False
standard_sa,challenging_small_radius,1,30.240000000000002,12,20,20,5.894151926040649,40.0,False,2025-09-03T23:47:35.916464,500,229,95,0.5,30,True,False
standard_sa,efficiency_test,1,75.44,10,12,12,2.803217649459839,16.666666666666664,False,2025-09-03T23:47:38.719681,500,244,95,0.5,30,True,False
standard_sa,parallel_processing_test,1,48.84,15,25,25,4.679419994354248,40.0,False,2025-09-03T23:47:43.400103,500,97,95,0.5,30,True,False
standard_ga_sa,small_area_few_drones,1,69.72,3,5,5,1.5044143199920654,40.0,False,2025-09-03T23:47:44.906513,500,278,95,0.5,30,True,False
standard_ga_sa,medium_area_standard,1,40.6,8,13,15,3.3596856594085693,38.46153846153846,False,2025-09-03T23:47:48.269198,500,348,95,0.5,30,True,False
standard_ga_sa,large_area_many_drones,1,61.88,23,29,30,6.790117025375366,20.68965517241379,False,2025-09-03T23:47:55.060316,500,365,95,0.5,30,True,False
standard_ga_sa,challenging_small_radius,1,22.48,9,20,20,3.565268039703369,55.00000000000001,False,2025-09-03T23:47:58.625584,500,495,95,0.5,30,False,False
standard_ga_sa,efficiency_test,1,67.80000000000001,9,11,12,3.085819721221924,18.181818181818176,False,2025-09-03T23:48:01.712404,500,391,95,0.5,30,True,False
standard_ga_sa,parallel_processing_test,1,71.48,25,25,25,6.93406081199646,0.0,False,2025-09-03T23:48:08.650466,500,119,95,0.5,30,True,False
standard_gwo,small_area_few_drones,1,70.8,5,5,5,1.7886104583740234,0.0,False,2025-09-03T23:48:10.439076,500,415,95,0.5,30,False,False
standard_gwo,medium_area_standard,1,50.03999999999999,10,15,15,3.3882336616516113,33.333333333333336,False,2025-09-03T23:48:13.828310,500,153,95,0.5,30,True,False
standard_gwo,large_area_many_drones,1,47.24,19,30,30,6.377761602401733,36.66666666666667,False,2025-09-03T23:48:20.207071,500,92,95,0.5,30,True,False
standard_gwo,challenging_small_radius,1,34.12,16,19,20,7.2014477252960205,15.789473684210531,False,2025-09-03T23:48:27.408519,500,228,95,0.5,30,True,False
