scenario,coverage_percentage_mean,coverage_percentage_std,energy_efficiency_mean,energy_efficiency_std,execution_time_mean,execution_time_std
Dense_Deployment,39.048,7.927,2.44,0.495,0.001,0.001
Extreme_Scale,21.714,4.403,0.869,0.176,0.021,0.024
Large_Scale,26.857,3.805,2.066,0.293,0.001,0.001
Medium_Scale,27.755,5.882,3.469,0.735,0.0,0.001
Small_Scale,21.143,6.414,5.286,1.604,0.0,0.001
Sparse_Coverage,7.937,2.828,1.323,0.471,0.006,0.009
