algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped
standard_greedy,small_area_few_drones,1,48.559999999999995,2,5,5,3.86303973197937,60.0,False,2025-09-03T23:58:28.690561,500,115,95,0.5,50,True,False
standard_greedy,medium_area_standard,1,58.76,15,15,15,9.441171169281006,0.0,False,2025-09-03T23:58:38.136728,500,119,95,0.5,50,True,False
standard_greedy,large_area_many_drones,1,59.040000000000006,24,30,30,9.182995557785034,19.999999999999996,False,2025-09-03T23:58:47.320723,500,159,95,0.5,50,True,False
standard_greedy,challenging_small_radius,1,40.72,17,18,20,7.176858901977539,5.555555555555558,False,2025-09-03T23:58:54.498582,500,250,95,0.5,50,True,False
standard_greedy,efficiency_test,1,87.03999999999999,9,12,12,3.608720302581787,25.0,False,2025-09-03T23:58:58.108301,500,67,95,0.5,50,True,False
standard_greedy,parallel_processing_test,1,52.0,17,24,25,7.714839935302734,29.166666666666664,False,2025-09-03T23:59:05.826141,500,330,95,0.5,50,True,False
standard_genetic,small_area_few_drones,1,65.84,4,4,5,2.1430132389068604,0.0,False,2025-09-03T23:59:07.969154,500,393,95,0.5,50,True,False
standard_genetic,medium_area_standard,1,43.6,8,15,15,3.4802589416503906,46.666666666666664,False,2025-09-03T23:59:11.450413,500,380,95,0.5,50,True,False
standard_genetic,large_area_many_drones,1,63.839999999999996,29,30,30,10.465461492538452,3.3333333333333326,False,2025-09-03T23:59:21.917873,500,83,95,0.5,50,True,False
standard_genetic,challenging_small_radius,1,31.64,13,19,20,7.835401773452759,31.57894736842105,False,2025-09-03T23:59:29.757312,500,127,95,0.5,50,True,False
standard_genetic,efficiency_test,1,77.60000000000001,10,11,12,3.8778228759765625,9.090909090909093,False,2025-09-03T23:59:33.637137,500,484,95,0.5,50,False,False
standard_genetic,parallel_processing_test,1,54.879999999999995,17,25,25,7.587641000747681,31.999999999999996,False,2025-09-03T23:59:41.224778,500,381,95,0.5,50,True,False
standard_pso,small_area_few_drones,1,65.56,5,5,5,2.9537336826324463,0.0,False,2025-09-03T23:59:44.186552,500,259,95,0.5,50,True,False
standard_pso,medium_area_standard,1,69.19999999999999,15,15,15,7.823318958282471,0.0,False,2025-09-03T23:59:52.010870,500,353,95,0.5,50,True,False
standard_pso,large_area_many_drones,1,64.32,28,29,30,7.49542236328125,3.4482758620689613,False,2025-09-03T23:59:59.506292,500,329,95,0.5,50,True,False
