,coverage,coverage,coverage,coverage,execution_time,execution_time,energy_efficiency,energy_efficiency,target_achieved,target_achieved
,mean,std,min,max,mean,std,mean,std,mean,count
algorithm,,,,,,,,,,
staged_ga_sa,62.983,15.149,34.12,85.12,1.471,0.697,15.746,9.304,0.0,12
staged_genetic,57.303,11.356,36.24,71.92,1.196,0.362,20.24,10.447,0.0,12
staged_greedy,61.477,16.549,36.2,88.96,1.27,0.487,13.481,13.405,0.0,12
staged_gwo,61.42,14.95,36.2,83.44,1.186,0.367,16.297,14.739,0.0,12
staged_mrfo,58.573,18.785,28.92,96.88,0.983,0.222,20.976,14.397,0.083,12
staged_pso,58.063,14.614,34.24,78.28,1.203,0.407,16.806,14.464,0.0,12
staged_sa,53.19,14.648,35.44,83.48,1.325,0.586,24.904,16.914,0.0,12
standard_ga_sa,59.327,13.039,34.6,80.36,1.247,0.484,20.96,18.498,0.0,12
standard_genetic,56.527,12.604,31.04,79.48,1.157,0.162,24.794,15.572,0.0,12
standard_greedy,59.373,15.424,36.52,91.8,1.101,0.271,17.641,16.922,0.0,12
standard_gwo,57.987,14.076,33.72,82.56,1.064,0.201,22.115,17.41,0.0,12
standard_mrfo,58.887,19.885,33.72,96.56,1.209,0.362,23.135,16.959,0.083,12
standard_pso,58.15,18.262,28.84,81.56,1.255,0.387,23.78,19.758,0.0,12
standard_sa,58.26,19.312,29.64,88.84,1.181,0.324,23.783,15.966,0.0,12
