algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped,coverage_plot_path
standard_sa,efficiency_test,2,89.72,11,11,12,1.2864279747009277,0.0,False,2025-09-08T19:58:28.963681,500,331,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_sa_efficiency_test_run2_coverage.png
standard_sa,parallel_processing_test,2,53.480000000000004,17,25,25,1.3119850158691406,31.999999999999996,False,2025-09-08T19:58:31.496431,500,145,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_sa_parallel_processing_test_run2_coverage.png
standard_ga_sa,small_area_few_drones,2,61.44,5,5,5,0.934654712677002,0.0,False,2025-09-08T19:58:33.622373,500,298,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_ga_sa_small_area_few_drones_run2_coverage.png
standard_ga_sa,medium_area_standard,2,55.92,11,13,15,1.42753267288208,15.384615384615385,False,2025-09-08T19:58:36.125956,500,255,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_ga_sa_medium_area_standard_run2_coverage.png
standard_ga_sa,large_area_many_drones,2,50.760000000000005,18,29,30,1.1186931133270264,37.93103448275862,False,2025-09-08T19:58:38.393637,500,436,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_ga_sa_large_area_many_drones_run2_coverage.png
standard_ga_sa,challenging_small_radius,2,35.120000000000005,15,18,20,1.0730006694793701,16.666666666666664,False,2025-09-08T19:58:40.887821,500,283,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_ga_sa_challenging_small_radius_run2_coverage.png
standard_ga_sa,efficiency_test,2,57.4,7,12,12,1.1341907978057861,41.666666666666664,False,2025-09-08T19:58:43.128855,500,470,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_ga_sa_efficiency_test_run2_coverage.png
standard_ga_sa,parallel_processing_test,2,46.56,15,24,25,2.020944595336914,37.5,False,2025-09-08T19:58:46.313486,500,53,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_ga_sa_parallel_processing_test_run2_coverage.png
standard_gwo,small_area_few_drones,2,82.64,4,5,5,1.0260882377624512,19.999999999999996,False,2025-09-08T19:58:49.303644,500,108,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_gwo_small_area_few_drones_run2_coverage.png
standard_gwo,medium_area_standard,2,49.24,10,15,15,1.1313118934631348,33.333333333333336,False,2025-09-08T19:58:51.768168,500,279,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_gwo_medium_area_standard_run2_coverage.png
standard_gwo,large_area_many_drones,2,55.32,21,30,30,1.6492090225219727,30.000000000000004,False,2025-09-08T19:58:54.586491,500,137,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_gwo_large_area_many_drones_run2_coverage.png
standard_gwo,challenging_small_radius,2,34.72,14,18,20,1.3548541069030762,22.22222222222222,False,2025-09-08T19:58:57.407634,500,447,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_gwo_challenging_small_radius_run2_coverage.png
standard_gwo,efficiency_test,2,76.4,8,12,12,1.634859323501587,33.333333333333336,False,2025-09-08T19:59:00.312193,500,444,95,0.4,50,False,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_gwo_efficiency_test_run2_coverage.png
standard_gwo,parallel_processing_test,2,53.559999999999995,19,25,25,1.519914150238037,24.0,False,2025-09-08T19:59:03.986985,500,230,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_gwo_parallel_processing_test_run2_coverage.png
standard_mrfo,small_area_few_drones,2,78.72,5,5,5,1.958496332168579,0.0,False,2025-09-08T19:59:07.289934,500,59,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_mrfo_small_area_few_drones_run2_coverage.png
standard_mrfo,medium_area_standard,2,45.96,11,15,15,1.1796884536743164,26.66666666666667,False,2025-09-08T19:59:09.942633,500,73,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_mrfo_medium_area_standard_run2_coverage.png
standard_mrfo,large_area_many_drones,2,67.56,22,30,30,1.5117113590240479,26.66666666666667,False,2025-09-08T19:59:13.060233,500,238,95,0.4,50,True,False,results/comprehensive_experiment_20250908_195332\coverage_plots\standard_mrfo_large_area_many_drones_run2_coverage.png
