algorithm,scenario,run,coverage,active_drones,total_drones,original_drones,execution_time,energy_efficiency,target_achieved,timestamp,max_iterations,iterations_used,early_stop_target,convergence_threshold,stagnation_limit,converged,early_stopped,coverage_plot_path
standard_greedy,small_area_few_drones,1,73.8,4,5,5,1.4407620429992676,19.999999999999996,False,2025-09-06T10:00:11.061031,500,250,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_greedy_small_area_few_drones_run1_coverage.png
standard_greedy,medium_area_standard,1,64.56,14,15,15,1.1082117557525635,6.666666666666665,False,2025-09-06T10:00:13.607398,500,62,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_greedy_medium_area_standard_run1_coverage.png
standard_greedy,large_area_many_drones,1,46.6,15,28,30,1.1008548736572266,46.42857142857143,False,2025-09-06T10:00:15.923451,500,166,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_greedy_large_area_many_drones_run1_coverage.png
standard_greedy,challenging_small_radius,1,39.56,15,20,20,1.2137527465820312,25.0,False,2025-09-06T10:00:18.646118,500,239,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_greedy_challenging_small_radius_run1_coverage.png
standard_greedy,efficiency_test,1,91.8,12,12,12,1.357889175415039,0.0,False,2025-09-06T10:00:21.447983,500,53,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_greedy_efficiency_test_run1_coverage.png
standard_greedy,parallel_processing_test,1,63.239999999999995,24,25,25,1.1000847816467285,4.0000000000000036,False,2025-09-06T10:00:24.188595,500,297,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_greedy_parallel_processing_test_run1_coverage.png
standard_genetic,small_area_few_drones,1,46.28,3,5,5,1.3392338752746582,40.0,False,2025-09-06T10:00:26.962511,500,456,95,0.4,50,False,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_genetic_small_area_few_drones_run1_coverage.png
standard_genetic,medium_area_standard,1,64.0,14,14,15,1.3264195919036865,0.0,False,2025-09-06T10:00:29.242044,500,393,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_genetic_medium_area_standard_run1_coverage.png
standard_genetic,large_area_many_drones,1,55.24,22,30,30,1.157796859741211,26.66666666666667,False,2025-09-06T10:00:31.462028,500,246,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_genetic_large_area_many_drones_run1_coverage.png
standard_genetic,challenging_small_radius,1,31.04,11,20,20,1.069730281829834,44.99999999999999,False,2025-09-06T10:00:33.687985,500,278,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_genetic_challenging_small_radius_run1_coverage.png
standard_genetic,efficiency_test,1,79.47999999999999,8,12,12,1.3090736865997314,33.333333333333336,False,2025-09-06T10:00:36.020788,500,261,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_genetic_efficiency_test_run1_coverage.png
standard_genetic,parallel_processing_test,1,55.76,17,25,25,1.3032011985778809,31.999999999999996,False,2025-09-06T10:00:38.741595,500,238,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_genetic_parallel_processing_test_run1_coverage.png
standard_pso,small_area_few_drones,1,34.32,2,5,5,0.9794244766235352,60.0,False,2025-09-06T10:00:40.844238,500,94,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_pso_small_area_few_drones_run1_coverage.png
standard_pso,medium_area_standard,1,59.160000000000004,11,15,15,1.3760161399841309,26.66666666666667,False,2025-09-06T10:00:43.178685,500,241,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_pso_medium_area_standard_run1_coverage.png
standard_pso,large_area_many_drones,1,51.2,18,29,30,1.3553168773651123,37.93103448275862,False,2025-09-06T10:00:45.782281,500,289,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_pso_large_area_many_drones_run1_coverage.png
standard_pso,challenging_small_radius,1,28.84,11,20,20,2.028322219848633,44.99999999999999,False,2025-09-06T10:00:48.976499,500,158,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_pso_challenging_small_radius_run1_coverage.png
standard_pso,efficiency_test,1,77.48,8,12,12,1.6675834655761719,33.333333333333336,False,2025-09-06T10:00:52.293110,500,495,95,0.4,50,False,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_pso_efficiency_test_run1_coverage.png
standard_pso,parallel_processing_test,1,47.12,15,25,25,1.1525428295135498,40.0,False,2025-09-06T10:00:54.586798,500,94,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_pso_parallel_processing_test_run1_coverage.png
standard_sa,small_area_few_drones,1,59.31999999999999,4,5,5,1.2148706912994385,19.999999999999996,False,2025-09-06T10:00:57.078053,500,396,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_sa_small_area_few_drones_run1_coverage.png
standard_sa,medium_area_standard,1,41.72,8,15,15,1.2239677906036377,46.666666666666664,False,2025-09-06T10:00:59.256865,500,78,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_sa_medium_area_standard_run1_coverage.png
standard_sa,large_area_many_drones,1,59.599999999999994,21,30,30,1.3987085819244385,30.000000000000004,False,2025-09-06T10:01:01.908060,500,94,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_sa_large_area_many_drones_run1_coverage.png
standard_sa,challenging_small_radius,1,29.64,11,19,20,1.8369534015655518,42.10526315789473,False,2025-09-06T10:01:05.079064,500,375,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_sa_challenging_small_radius_run1_coverage.png
standard_sa,efficiency_test,1,88.84,9,11,12,0.9472854137420654,18.181818181818176,False,2025-09-06T10:01:07.103000,500,94,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_sa_efficiency_test_run1_coverage.png
standard_sa,parallel_processing_test,1,42.04,17,25,25,1.2050096988677979,31.999999999999996,False,2025-09-06T10:01:10.519104,500,131,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_sa_parallel_processing_test_run1_coverage.png
standard_ga_sa,small_area_few_drones,1,73.08,4,5,5,0.9891383647918701,19.999999999999996,False,2025-09-06T10:01:13.325625,500,173,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_ga_sa_small_area_few_drones_run1_coverage.png
standard_ga_sa,medium_area_standard,1,61.480000000000004,14,15,15,1.8190014362335205,6.666666666666665,False,2025-09-06T10:01:16.124359,500,268,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_ga_sa_medium_area_standard_run1_coverage.png
standard_ga_sa,large_area_many_drones,1,68.0,24,29,30,2.0586354732513428,17.24137931034483,False,2025-09-06T10:01:19.234497,500,398,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_ga_sa_large_area_many_drones_run1_coverage.png
standard_ga_sa,challenging_small_radius,1,34.599999999999994,16,20,20,1.435471773147583,19.999999999999996,False,2025-09-06T10:01:22.723234,500,313,95,0.4,50,True,False,results/comprehensive_experiment_20250906_100009\coverage_plots\standard_ga_sa_challenging_small_radius_run1_coverage.png
